provider_id,doc_comm_bad,doc_com_ok,doc_com_good,help_timingbad,help_timing_ok,help_timing_good,pain_ctrl_bad,pain_ctrl_ok,pain_ctrl_good,quiet_no,quiet_usu,quiet_always,recovery_info_yes,recovery_info_no,rating_low,rating_mid,rating_high,recommend_no,recommend_ok,recommend_y,num_surveys,survey_response_rate
140043,0.03,0.17,0.80,0.04,0.24,0.72,0.04,0.23,0.73,0.07,0.34,0.59,0.85,0.15,0.04,0.24,0.72,0.02,0.28,0.70,300 or more,0.37
140046,0.04,0.13,0.83,0.04,0.23,0.73,0.06,0.25,0.69,0.10,0.35,0.55,0.88,0.12,0.06,0.23,0.71,0.03,0.18,0.79,300 or more,0.39
140048,0.08,0.15,0.77,0.14,0.22,0.64,0.08,0.23,0.69,0.12,0.26,0.62,0.78,0.22,0.11,0.28,0.61,0.07,0.35,0.58,300 or more,0.18
140049,0.04,0.13,0.83,0.15,0.24,0.61,0.09,0.21,0.70,0.11,0.25,0.64,0.84,0.16,0.10,0.26,0.64,0.07,0.28,0.65,300 or more,0.28
140051,0.06,0.18,0.76,0.13,0.28,0.59,0.08,0.27,0.65,0.16,0.32,0.52,0.80,0.20,0.10,0.31,0.59,0.06,0.31,0.63,300 or more,0.24
140052,0.05,0.13,0.82,0.09,0.28,0.63,0.07,0.24,0.69,0.14,0.28,0.58,0.87,0.13,0.07,0.23,0.70,0.05,0.20,0.75,300 or more,0.33
140053,0.04,0.16,0.80,0.13,0.27,0.60,0.10,0.24,0.66,0.14,0.34,0.52,0.84,0.16,0.12,0.22,0.66,0.08,0.24,0.68,300 or more,0.39
140054,0.03,0.15,0.82,0.08,0.24,0.68,0.06,0.22,0.72,0.16,0.33,0.51,0.85,0.15,0.07,0.23,0.70,0.05,0.26,0.69,300 or more,0.32
140058,0.02,0.16,0.82,0.09,0.29,0.62,0.04,0.25,0.71,0.10,0.38,0.52,0.84,0.16,0.08,0.23,0.69,0.03,0.31,0.66,300 or more,0.36
140059,0.04,0.13,0.83,0.06,0.19,0.75,0.07,0.24,0.69,0.06,0.28,0.66,0.83,0.17,0.07,0.21,0.72,0.05,0.29,0.66,Between 100 and 299,0.37
140062,0.04,0.16,0.80,0.13,0.28,0.59,0.06,0.24,0.70,0.23,0.38,0.39,0.81,0.19,0.11,0.26,0.63,0.05,0.30,0.65,300 or more,0.45
140063,0.04,0.14,0.82,0.09,0.24,0.67,0.06,0.21,0.73,0.08,0.27,0.65,0.80,0.20,0.09,0.25,0.66,0.05,0.27,0.68,300 or more,0.24
140064,0.02,0.16,0.82,0.04,0.19,0.77,0.05,0.20,0.75,0.10,0.34,0.56,0.91,0.09,0.05,0.16,0.79,0.02,0.18,0.80,300 or more,0.41
140065,0.03,0.14,0.83,0.07,0.21,0.72,0.06,0.23,0.71,0.08,0.31,0.61,0.85,0.15,0.06,0.21,0.73,0.03,0.21,0.76,300 or more,0.40
140067,0.04,0.15,0.81,0.09,0.29,0.62,0.05,0.23,0.72,0.14,0.35,0.51,0.87,0.13,0.06,0.22,0.72,0.03,0.21,0.76,300 or more,0.37
140068,0.12,0.16,0.72,0.30,0.22,0.48,0.17,0.29,0.54,0.18,0.34,0.48,0.65,0.35,0.24,0.33,0.43,0.19,0.43,0.38,Between 100 and 299,0.15
140077,0.04,0.11,0.85,0.17,0.21,0.62,0.10,0.18,0.72,0.10,0.21,0.69,0.84,0.16,0.10,0.22,0.68,0.07,0.29,0.64,300 or more,0.26
140080,0.05,0.19,0.76,0.15,0.31,0.54,0.12,0.28,0.60,0.17,0.35,0.48,0.79,0.21,0.12,0.25,0.63,0.10,0.29,0.61,300 or more,0.23
140082,0.05,0.17,0.78,0.13,0.25,0.62,0.10,0.24,0.66,0.17,0.27,0.56,0.84,0.16,0.12,0.25,0.63,0.08,0.24,0.68,300 or more,0.26
140083,0.13,0.17,0.70,0.30,0.18,0.52,0.19,0.22,0.59,0.13,0.27,0.60,0.68,0.32,0.31,0.27,0.42,0.21,0.40,0.39,Between 100 and 299,0.08
140084,0.06,0.15,0.79,0.15,0.27,0.58,0.12,0.21,0.67,0.15,0.31,0.54,0.79,0.21,0.13,0.27,0.60,0.09,0.33,0.58,300 or more,0.23
140088,0.04,0.15,0.81,0.16,0.31,0.53,0.08,0.26,0.66,0.21,0.34,0.45,0.84,0.16,0.12,0.26,0.62,0.06,0.25,0.69,300 or more,0.26
140089,0.04,0.13,0.83,0.05,0.19,0.76,0.05,0.23,0.72,0.08,0.27,0.65,0.89,0.11,0.07,0.28,0.65,0.04,0.35,0.61,300 or more,0.43
140091,0.03,0.18,0.79,0.08,0.27,0.65,0.07,0.24,0.69,0.15,0.37,0.48,0.87,0.13,0.06,0.20,0.74,0.03,0.20,0.77,300 or more,0.36
140093,0.05,0.15,0.80,0.08,0.28,0.64,0.06,0.23,0.71,0.08,0.30,0.62,0.87,0.13,0.07,0.31,0.62,0.06,0.37,0.57,300 or more,0.32
140095,0.05,0.17,0.78,0.12,0.30,0.58,0.09,0.24,0.67,0.17,0.31,0.52,0.81,0.19,0.11,0.20,0.69,0.08,0.26,0.66,300 or more,0.27
140100,0.00,0.12,0.88,0.01,0.21,0.78,0.01,0.22,0.77,0.04,0.30,0.66,0.93,0.07,0.00,0.11,0.89,0.00,0.09,0.91,300 or more,0.29
140101,0.03,0.15,0.82,0.04,0.26,0.70,0.08,0.22,0.70,0.14,0.31,0.55,0.88,0.12,0.05,0.19,0.76,0.02,0.21,0.77,300 or more,0.32
140103,0.13,0.14,0.73,0.30,0.28,0.42,0.21,0.21,0.58,0.17,0.22,0.61,0.72,0.28,0.27,0.29,0.44,0.19,0.40,0.41,300 or more,0.09
140110,0.03,0.16,0.81,0.04,0.18,0.78,0.05,0.22,0.73,0.09,0.33,0.58,0.88,0.12,0.04,0.26,0.70,0.03,0.29,0.68,300 or more,0.34
140113,0.05,0.18,0.77,0.12,0.25,0.63,0.06,0.26,0.68,0.15,0.35,0.50,0.85,0.15,0.09,0.29,0.62,0.04,0.24,0.72,300 or more,0.39
140114,0.07,0.15,0.78,0.12,0.27,0.61,0.07,0.28,0.65,0.14,0.34,0.52,0.83,0.17,0.07,0.27,0.66,0.06,0.27,0.67,300 or more,0.24
140115,0.08,0.15,0.77,0.26,0.24,0.50,0.13,0.22,0.65,0.13,0.33,0.54,0.80,0.20,0.19,0.32,0.49,0.12,0.33,0.55,300 or more,0.13
140116,0.04,0.17,0.79,0.05,0.22,0.73,0.05,0.23,0.72,0.18,0.37,0.45,0.89,0.11,0.08,0.25,0.67,0.04,0.26,0.70,300 or more,0.35
140117,0.04,0.16,0.80,0.09,0.29,0.62,0.08,0.19,0.73,0.15,0.33,0.52,0.84,0.16,0.08,0.24,0.68,0.05,0.26,0.69,300 or more,0.23
140118,0.06,0.14,0.80,0.14,0.24,0.62,0.10,0.20,0.70,0.13,0.23,0.64,0.84,0.16,0.08,0.23,0.69,0.07,0.26,0.67,300 or more,0.31
140119,0.05,0.15,0.80,0.11,0.25,0.64,0.07,0.23,0.70,0.11,0.29,0.60,0.85,0.15,0.07,0.18,0.75,0.03,0.17,0.80,300 or more,0.29
140120,0.06,0.14,0.80,0.08,0.25,0.67,0.05,0.25,0.70,0.12,0.34,0.54,0.86,0.14,0.13,0.23,0.64,0.08,0.29,0.63,300 or more,0.31
140122,0.04,0.14,0.82,0.08,0.25,0.67,0.07,0.21,0.72,0.16,0.32,0.52,0.85,0.15,0.07,0.25,0.68,0.05,0.22,0.73,300 or more,0.39
140124,0.05,0.14,0.81,0.23,0.25,0.52,0.11,0.22,0.67,0.17,0.30,0.53,0.79,0.21,0.16,0.29,0.55,0.08,0.29,0.63,300 or more,0.15
140125,0.05,0.16,0.79,0.16,0.28,0.56,0.10,0.22,0.68,0.12,0.29,0.59,0.82,0.18,0.10,0.28,0.62,0.09,0.32,0.59,300 or more,0.30
140127,0.03,0.15,0.82,0.06,0.27,0.67,0.04,0.22,0.74,0.09,0.33,0.58,0.87,0.13,0.05,0.20,0.75,0.02,0.20,0.78,300 or more,0.40
140130,0.04,0.14,0.82,0.09,0.26,0.65,0.07,0.20,0.73,0.16,0.30,0.54,0.82,0.18,0.08,0.19,0.73,0.05,0.20,0.75,300 or more,0.35
140133,0.10,0.13,0.77,0.20,0.22,0.58,0.16,0.20,0.64,0.18,0.22,0.60,0.81,0.19,0.15,0.30,0.55,0.11,0.35,0.54,300 or more,0.23
140135,0.02,0.16,0.82,0.09,0.28,0.63,0.07,0.26,0.67,0.08,0.31,0.61,0.87,0.13,0.08,0.22,0.70,0.03,0.23,0.74,300 or more,0.36
140137,0.01,0.17,0.82,0.08,0.27,0.65,0.07,0.24,0.69,0.04,0.37,0.59,0.85,0.15,0.10,0.25,0.65,0.06,0.29,0.65,Between 100 and 299,0.31
140143,0.03,0.10,0.87,0.04,0.20,0.76,0.05,0.23,0.72,0.10,0.34,0.56,0.86,0.14,0.07,0.25,0.68,0.03,0.23,0.74,300 or more,0.43
140145,0.03,0.10,0.87,0.04,0.13,0.83,0.03,0.14,0.83,0.04,0.20,0.76,0.91,0.09,0.03,0.12,0.85,0.01,0.12,0.87,300 or more,0.51
140147,0.01,0.12,0.87,0.03,0.26,0.71,0.05,0.24,0.71,0.05,0.33,0.62,0.89,0.11,0.04,0.20,0.76,0.03,0.26,0.71,300 or more,0.40
140148,0.03,0.17,0.80,0.08,0.27,0.65,0.04,0.24,0.72,0.12,0.34,0.54,0.84,0.16,0.06,0.21,0.73,0.02,0.20,0.78,300 or more,0.36
140150,0.07,0.18,0.75,0.14,0.29,0.57,0.12,0.22,0.66,0.14,0.28,0.58,0.83,0.17,0.14,0.27,0.59,0.10,0.28,0.62,300 or more,0.14
140151,0.15,0.14,0.71,0.33,0.21,0.46,0.26,0.21,0.53,0.26,0.20,0.54,0.75,0.25,0.25,0.35,0.40,0.20,0.35,0.45,300 or more,0.13
140155,0.02,0.14,0.84,0.08,0.26,0.66,0.07,0.21,0.72,0.11,0.31,0.58,0.86,0.14,0.06,0.21,0.73,0.02,0.20,0.78,300 or more,0.31
140158,0.05,0.13,0.82,0.14,0.24,0.62,0.10,0.19,0.71,0.11,0.29,0.60,0.81,0.19,0.08,0.25,0.67,0.07,0.22,0.71,300 or more,0.46
140160,0.04,0.18,0.78,0.05,0.27,0.68,0.06,0.27,0.67,0.09,0.40,0.51,0.79,0.21,0.07,0.28,0.65,0.05,0.35,0.60,300 or more,0.29
140161,0.03,0.15,0.82,0.05,0.18,0.77,0.05,0.26,0.69,0.07,0.26,0.67,0.84,0.16,0.07,0.26,0.67,0.04,0.29,0.67,300 or more,0.31
140162,0.02,0.13,0.85,0.08,0.28,0.64,0.05,0.24,0.71,0.08,0.30,0.62,0.85,0.15,0.05,0.18,0.77,0.03,0.16,0.81,300 or more,0.43
140164,0.04,0.15,0.81,0.08,0.26,0.66,0.06,0.24,0.70,0.09,0.29,0.62,0.85,0.15,0.06,0.22,0.72,0.03,0.19,0.78,300 or more,0.37
140166,0.05,0.16,0.79,0.15,0.30,0.55,0.09,0.26,0.65,0.08,0.34,0.58,0.81,0.19,0.10,0.23,0.67,0.06,0.25,0.69,300 or more,0.38
140167,0.04,0.16,0.80,0.09,0.20,0.71,0.06,0.16,0.78,0.09,0.34,0.57,0.92,0.08,0.10,0.25,0.65,0.06,0.30,0.64,Between 100 and 299,0.32
140172,0.06,0.17,0.77,0.15,0.25,0.60,0.09,0.25,0.66,0.15,0.31,0.54,0.79,0.21,0.10,0.28,0.62,0.07,0.34,0.59,300 or more,0.24
140174,0.04,0.15,0.81,0.17,0.27,0.56,0.08,0.22,0.70,0.18,0.27,0.55,0.84,0.16,0.11,0.24,0.65,0.08,0.27,0.65,300 or more,0.28
140176,0.04,0.17,0.79,0.07,0.24,0.69,0.06,0.21,0.73,0.16,0.32,0.52,0.88,0.12,0.08,0.24,0.68,0.04,0.27,0.69,300 or more,0.33
140177,0.17,0.13,0.70,0.36,0.21,0.43,0.28,0.17,0.55,0.27,0.19,0.54,0.65,0.35,0.29,0.31,0.40,0.28,0.34,0.38,300 or more,0.17
140179,0.04,0.14,0.82,0.11,0.22,0.67,0.06,0.22,0.72,0.14,0.29,0.57,0.82,0.18,0.07,0.25,0.68,0.05,0.24,0.71,300 or more,0.31
140180,0.03,0.17,0.80,0.09,0.30,0.61,0.06,0.24,0.70,0.14,0.30,0.56,0.81,0.19,0.07,0.21,0.72,0.04,0.28,0.68,300 or more,0.27
140181,0.11,0.15,0.74,0.25,0.24,0.51,0.13,0.26,0.61,0.21,0.23,0.56,0.64,0.36,0.25,0.33,0.42,0.17,0.44,0.39,300 or more,0.13
140182,0.05,0.17,0.78,0.08,0.24,0.68,0.06,0.24,0.70,0.16,0.34,0.50,0.86,0.14,0.08,0.24,0.68,0.05,0.23,0.72,300 or more,0.25
140184,0.06,0.15,0.79,0.15,0.24,0.61,0.09,0.24,0.67,0.16,0.31,0.53,0.84,0.16,0.12,0.24,0.64,0.09,0.29,0.62,300 or more,0.30
140185,0.04,0.16,0.80,0.07,0.25,0.68,0.04,0.21,0.75,0.11,0.31,0.58,0.84,0.16,0.06,0.20,0.74,0.02,0.21,0.77,300 or more,0.33
140186,0.05,0.17,0.78,0.08,0.25,0.67,0.07,0.25,0.68,0.15,0.33,0.52,0.82,0.18,0.08,0.20,0.72,0.04,0.23,0.73,300 or more,0.36
140187,0.04,0.17,0.79,0.12,0.27,0.61,0.06,0.24,0.70,0.14,0.33,0.53,0.84,0.16,0.09,0.28,0.63,0.05,0.29,0.66,300 or more,0.36
140189,0.01,0.12,0.87,0.05,0.20,0.75,0.05,0.19,0.76,0.09,0.33,0.58,0.91,0.09,0.04,0.15,0.81,0.02,0.21,0.77,300 or more,0.38
140191,0.05,0.16,0.79,0.17,0.25,0.58,0.11,0.22,0.67,0.16,0.29,0.55,0.83,0.17,0.10,0.26,0.64,0.07,0.27,0.66,300 or more,0.24
140197,0.09,0.16,0.75,0.27,0.15,0.58,0.11,0.29,0.60,0.12,0.22,0.66,0.84,0.16,0.12,0.31,0.57,0.08,0.41,0.51,Fewer than 100,0.11
140200,0.03,0.18,0.79,0.11,0.25,0.64,0.06,0.24,0.70,0.04,0.26,0.70,0.84,0.16,0.08,0.19,0.73,0.04,0.20,0.76,300 or more,0.33
140202,0.05,0.17,0.78,0.09,0.25,0.66,0.07,0.23,0.70,0.10,0.29,0.61,0.82,0.18,0.07,0.22,0.71,0.04,0.23,0.73,300 or more,0.31
140206,0.11,0.20,0.69,0.28,0.30,0.42,0.19,0.30,0.51,0.21,0.29,0.50,0.72,0.28,0.23,0.29,0.48,0.18,0.36,0.46,300 or more,0.07
140208,0.05,0.16,0.79,0.08,0.22,0.70,0.06,0.21,0.73,0.15,0.33,0.52,0.87,0.13,0.08,0.22,0.70,0.04,0.24,0.72,300 or more,0.31
140209,0.04,0.14,0.82,0.08,0.25,0.67,0.06,0.22,0.72,0.10,0.26,0.64,0.86,0.14,0.06,0.19,0.75,0.03,0.18,0.79,300 or more,0.36
140210,0.04,0.14,0.82,0.07,0.18,0.75,0.07,0.25,0.68,0.09,0.37,0.54,0.81,0.19,0.08,0.22,0.70,0.04,0.36,0.60,Between 100 and 299,0.30
140211,0.04,0.15,0.81,0.12,0.28,0.60,0.07,0.19,0.74,0.11,0.29,0.60,0.88,0.12,0.07,0.24,0.69,0.04,0.24,0.72,300 or more,0.41
140213,0.04,0.15,0.81,0.09,0.26,0.65,0.06,0.20,0.74,0.12,0.28,0.60,0.84,0.16,0.07,0.17,0.76,0.04,0.19,0.77,300 or more,0.32
140217,0.06,0.17,0.77,0.11,0.32,0.57,0.09,0.21,0.70,0.10,0.31,0.59,0.87,0.13,0.09,0.18,0.73,0.05,0.22,0.73,300 or more,0.29
140223,0.04,0.16,0.80,0.09,0.27,0.64,0.06,0.21,0.73,0.11,0.31,0.58,0.87,0.13,0.06,0.17,0.77,0.03,0.17,0.80,300 or more,0.35
140224,0.04,0.18,0.78,0.10,0.28,0.62,0.09,0.26,0.65,0.11,0.33,0.56,0.84,0.16,0.11,0.27,0.62,0.05,0.28,0.67,300 or more,0.27
140228,0.05,0.17,0.78,0.07,0.26,0.67,0.05,0.21,0.74,0.11,0.34,0.55,0.86,0.14,0.06,0.22,0.72,0.03,0.21,0.76,300 or more,0.37
140231,0.04,0.15,0.81,0.10,0.26,0.64,0.05,0.20,0.75,0.12,0.29,0.59,0.84,0.16,0.06,0.16,0.78,0.03,0.15,0.82,300 or more,0.39
140233,0.04,0.15,0.81,0.07,0.27,0.66,0.04,0.22,0.74,0.14,0.36,0.50,0.85,0.15,0.06,0.22,0.72,0.03,0.20,0.77,300 or more,0.41
140234,0.03,0.12,0.85,0.05,0.20,0.75,0.05,0.22,0.73,0.11,0.35,0.54,0.87,0.13,0.05,0.20,0.75,0.02,0.22,0.76,300 or more,0.42
140239,0.05,0.18,0.77,0.11,0.30,0.59,0.06,0.23,0.71,0.12,0.32,0.56,0.82,0.18,0.08,0.25,0.67,0.05,0.24,0.71,300 or more,0.33
140240,0.05,0.17,0.78,0.16,0.27,0.57,0.10,0.25,0.65,0.15,0.31,0.54,0.81,0.19,0.12,0.26,0.62,0.08,0.29,0.63,300 or more,0.28
140242,0.02,0.16,0.82,0.07,0.25,0.68,0.03,0.22,0.75,0.06,0.29,0.65,0.89,0.11,0.03,0.16,0.81,0.02,0.15,0.83,300 or more,0.32
140250,0.04,0.15,0.81,0.10,0.23,0.67,0.06,0.21,0.73,0.13,0.31,0.56,0.84,0.16,0.07,0.23,0.70,0.04,0.26,0.70,300 or more,0.26
140251,0.07,0.20,0.73,0.15,0.32,0.53,0.12,0.24,0.64,0.21,0.33,0.46,0.80,0.20,0.12,0.32,0.56,0.12,0.32,0.56,300 or more,0.20
140252,0.04,0.19,0.77,0.09,0.28,0.63,0.06,0.24,0.70,0.13,0.32,0.55,0.83,0.17,0.06,0.21,0.73,0.04,0.19,0.77,300 or more,0.37
140258,0.04,0.16,0.80,0.10,0.24,0.66,0.07,0.25,0.68,0.10,0.28,0.62,0.85,0.15,0.05,0.18,0.77,0.02,0.20,0.78,300 or more,0.28
140275,0.05,0.15,0.80,0.06,0.26,0.68,0.06,0.24,0.70,0.10,0.33,0.57,0.85,0.15,0.07,0.22,0.71,0.04,0.22,0.74,300 or more,0.36
140276,0.05,0.16,0.79,0.13,0.27,0.60,0.08,0.24,0.68,0.15,0.31,0.54,0.84,0.16,0.10,0.21,0.69,0.06,0.20,0.74,300 or more,0.26
140280,0.05,0.17,0.78,0.14,0.31,0.55,0.08,0.24,0.68,0.15,0.33,0.52,0.87,0.13,0.10,0.25,0.65,0.06,0.28,0.66,300 or more,0.36
140281,0.04,0.15,0.81,0.14,0.29,0.57,0.08,0.24,0.68,0.08,0.28,0.64,0.78,0.22,0.07,0.18,0.75,0.03,0.16,0.81,300 or more,0.31
140286,0.01,0.15,0.84,0.09,0.31,0.60,0.05,0.24,0.71,0.07,0.35,0.58,0.89,0.11,0.06,0.23,0.71,0.03,0.29,0.68,300 or more,0.33
140288,0.04,0.16,0.80,0.07,0.25,0.68,0.06,0.22,0.72,0.17,0.33,0.50,0.85,0.15,0.08,0.22,0.70,0.05,0.21,0.74,300 or more,0.37
140289,0.02,0.18,0.80,0.09,0.27,0.64,0.07,0.26,0.67,0.19,0.31,0.50,0.87,0.13,0.07,0.30,0.63,0.05,0.32,0.63,300 or more,0.36
140290,0.04,0.18,0.78,0.06,0.25,0.69,0.06,0.25,0.69,0.16,0.36,0.48,0.88,0.12,0.07,0.23,0.70,0.04,0.23,0.73,300 or more,0.27
140291,0.04,0.16,0.80,0.10,0.27,0.63,0.06,0.22,0.72,0.19,0.34,0.47,0.88,0.12,0.08,0.22,0.70,0.05,0.21,0.74,300 or more,0.40
140292,0.07,0.19,0.74,0.13,0.23,0.64,0.10,0.23,0.67,0.18,0.31,0.51,0.83,0.17,0.15,0.27,0.58,0.11,0.33,0.56,300 or more,0.21
140294,0.02,0.15,0.83,0.07,0.24,0.69,0.06,0.23,0.71,0.12,0.31,0.57,0.87,0.13,0.10,0.23,0.67,0.07,0.27,0.66,300 or more,0.37
140300,0.06,0.13,0.81,0.19,0.18,0.63,0.08,0.20,0.72,0.09,0.19,0.72,0.79,0.21,0.13,0.29,0.58,0.06,0.34,0.60,Between 100 and 299,0.21
140304,0.06,0.17,0.77,0.14,0.30,0.56,0.08,0.25,0.67,0.08,0.27,0.65,0.83,0.17,0.09,0.23,0.68,0.07,0.24,0.69,300 or more,0.21
141300,,,,,,,,,,,,,,,,,,,,,Not Available,
141301,,,,,,,,,,,,,,,,,,,,,Not Available,
141302,,,,,,,,,,,,,,,,,,,,,Not Available,
141303,,,,,,,,,,,,,,,,,,,,,Not Available,
141304,,,,,,,,,,,,,,,,,,,,,Not Available,
141306,,,,,,,,,,,,,,,,,,,,,Not Available,
141307,0.02,0.15,0.83,0.03,0.18,0.79,0.03,0.26,0.71,0.11,0.37,0.52,0.88,0.12,0.10,0.28,0.62,0.04,0.35,0.61,Between 100 and 299,0.36
141309,,,,,,,,,,,,,,,,,,,,,Not Available,
141310,0.03,0.15,0.82,0.03,0.19,0.78,0.06,0.21,0.73,0.07,0.32,0.61,0.87,0.13,0.06,0.20,0.74,0.03,0.26,0.71,300 or more,0.36
141311,,,,,,,,,,,,,,,,,,,,,Not Available,
141312,0.01,0.06,0.93,0.01,0.05,0.94,0.06,0.09,0.85,0.04,0.22,0.74,0.87,0.13,0.02,0.12,0.86,0.00,0.16,0.84,Between 100 and 299,0.40
141313,0.00,0.08,0.92,0.01,0.12,0.87,0.01,0.25,0.74,0.05,0.13,0.82,0.92,0.08,0.03,0.07,0.90,0.03,0.08,0.89,Fewer than 100,0.40
141315,0.02,0.08,0.90,0.01,0.10,0.89,0.01,0.19,0.80,0.05,0.23,0.72,0.90,0.10,0.03,0.15,0.82,0.01,0.24,0.75,Between 100 and 299,0.48
141316,,,,,,,,,,,,,,,,,,,,,Not Available,
141317,0.00,0.13,0.87,0.03,0.24,0.73,0.03,0.25,0.72,0.07,0.30,0.63,0.91,0.09,0.04,0.14,0.82,0.02,0.18,0.80,300 or more,0.43
141318,0.00,0.14,0.86,0.03,0.13,0.84,0.04,0.19,0.77,0.02,0.25,0.73,0.91,0.09,0.02,0.16,0.82,0.02,0.16,0.82,Between 100 and 299,0.38
141319,0.02,0.11,0.87,0.03,0.19,0.78,0.03,0.22,0.75,0.06,0.32,0.62,0.87,0.13,0.05,0.18,0.77,0.02,0.23,0.75,300 or more,0.45
141320,0.08,0.11,0.81,0.03,0.15,0.82,0.06,0.21,0.73,0.05,0.25,0.70,0.84,0.16,0.09,0.20,0.71,0.06,0.33,0.61,Fewer than 100,0.34
141322,0.01,0.07,0.92,0.06,0.23,0.71,0.03,0.24,0.73,0.05,0.24,0.71,0.86,0.14,0.06,0.20,0.74,0.03,0.19,0.78,Between 100 and 299,0.38
141324,,,,,,,,,,,,,,,,,,,,,Not Available,
141325,,,,,,,,,,,,,,,,,,,,,Not Available,
141326,,,,,,,,,,,,,,,,,,,,,Not Available,
141327,,,,,,,,,,,,,,,,,,,,,Not Available,
141328,,,,,,,,,,,,,,,,,,,,,Not Available,
141330,,,,,,,,,,,,,,,,,,,,,Not Available,
141331,,,,,,,,,,,,,,,,,,,,,Not Available,
141332,0.04,0.07,0.89,0.04,0.19,0.77,0.04,0.13,0.83,0.06,0.29,0.65,0.91,0.09,0.04,0.23,0.73,0.02,0.27,0.71,Fewer than 100,0.37
141333,,,,,,,,,,,,,,,,,,,,,Not Available,
141334,0.01,0.13,0.86,0.03,0.16,0.81,0.03,0.20,0.77,0.05,0.26,0.69,0.89,0.11,0.03,0.15,0.82,0.03,0.13,0.84,Between 100 and 299,0.32
141335,,,,,,,,,,,,,,,,,,,,,Not Available,
141336,0.01,0.14,0.85,0.04,0.25,0.71,0.02,0.25,0.73,0.04,0.32,0.64,0.86,0.14,0.06,0.20,0.74,0.04,0.25,0.71,Between 100 and 299,0.37
141337,,,,,,,,,,,,,,,,,,,,,Not Available,
141338,,,,,,,,,,,,,,,,,,,,,Not Available,
141339,0.02,0.10,0.88,0.07,0.28,0.65,0.07,0.24,0.69,0.12,0.38,0.50,0.78,0.22,0.08,0.19,0.73,0.04,0.22,0.74,300 or more,0.34
