drg_id,drg_def,provider_id,provider_name,total_discharges,avg_covered_charges,avg_total_payments
193,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140002,ALTON MEMORIAL HOSPITAL,61,34876.54098,8494.229508
194,194 - SIMPLE PNEUMONIA & PLEURISY W CC,140002,ALTON MEMORIAL HOSPITAL,39,25380.66667,5447.923077
195,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,11,21689.54545,4270.181818
207,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,140002,ALTON MEMORIAL HOSPITAL,17,147270.1176,38932.88235
208,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,140002,ALTON MEMORIAL HOSPITAL,18,66104.27778,12431.94444
246,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,140002,ALTON MEMORIAL HOSPITAL,12,76062.25,17481.66667
247,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,140002,ALTON MEMORIAL HOSPITAL,32,48340.96875,10819.8125
280,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",140002,ALTON MEMORIAL HOSPITAL,22,49265.72727,11633.22727
281,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",140002,ALTON MEMORIAL HOSPITAL,13,20241.46154,5792.769231
287,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",140002,ALTON MEMORIAL HOSPITAL,44,23853.52273,6076.068182
291,291 - HEART FAILURE & SHOCK W MCC,140002,ALTON MEMORIAL HOSPITAL,76,34875.31579,8686.973684
292,292 - HEART FAILURE & SHOCK W CC,140002,ALTON MEMORIAL HOSPITAL,45,20910.62222,5701.311111
293,293 - HEART FAILURE & SHOCK W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,24,15547.20833,4639.958333
300,300 - PERIPHERAL VASCULAR DISORDERS W CC,140002,ALTON MEMORIAL HOSPITAL,18,17682.72222,5158.166667
308,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,140002,ALTON MEMORIAL HOSPITAL,29,25264.48276,6780.034483
309,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,140002,ALTON MEMORIAL HOSPITAL,37,18038.75676,4746.972973
310,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,27,12167.96296,3254.925926
312,312 - SYNCOPE & COLLAPSE,140002,ALTON MEMORIAL HOSPITAL,45,16373.06667,3989.466667
313,313 - CHEST PAIN,140002,ALTON MEMORIAL HOSPITAL,33,14071.93939,3022.575758
329,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,140002,ALTON MEMORIAL HOSPITAL,12,78489.83333,26791.16667
377,377 - G.I. HEMORRHAGE W MCC,140002,ALTON MEMORIAL HOSPITAL,23,30893.43478,9565.521739
378,378 - G.I. HEMORRHAGE W CC,140002,ALTON MEMORIAL HOSPITAL,62,21703.14516,5612.806452
389,389 - G.I. OBSTRUCTION W CC,140002,ALTON MEMORIAL HOSPITAL,13,19738.76923,5138.692308
390,390 - G.I. OBSTRUCTION W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,12,14179.33333,3501.333333
391,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",140002,ALTON MEMORIAL HOSPITAL,14,23010.35714,6248.142857
392,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",140002,ALTON MEMORIAL HOSPITAL,72,15786.48611,4062.416667
394,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,140002,ALTON MEMORIAL HOSPITAL,12,15121.66667,5465.75
439,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,140002,ALTON MEMORIAL HOSPITAL,15,20046.73333,5362.466667
470,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,140002,ALTON MEMORIAL HOSPITAL,103,43915.33981,12530.02913
480,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,140002,ALTON MEMORIAL HOSPITAL,12,65338,16247.66667
481,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,140002,ALTON MEMORIAL HOSPITAL,24,36829.41667,10110.45833
482,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,14,26472.07143,8412.071429
536,536 - FRACTURES OF HIP & PELVIS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,12,16849.83333,3825.583333
602,602 - CELLULITIS W MCC,140002,ALTON MEMORIAL HOSPITAL,18,26477.16667,7464.333333
603,603 - CELLULITIS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,44,17022.27273,4616.795455
638,638 - DIABETES W CC,140002,ALTON MEMORIAL HOSPITAL,16,15559.875,4356.25
640,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",140002,ALTON MEMORIAL HOSPITAL,13,36157.30769,7724.307692
641,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",140002,ALTON MEMORIAL HOSPITAL,32,14587.78125,4218.71875
682,682 - RENAL FAILURE W MCC,140002,ALTON MEMORIAL HOSPITAL,67,34486.79104,8867.223881
683,683 - RENAL FAILURE W CC,140002,ALTON MEMORIAL HOSPITAL,68,19857.86765,5463.617647
684,684 - RENAL FAILURE W/O CC/MCC,140002,ALTON MEMORIAL HOSPITAL,12,10656.5,3620.5
689,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,140002,ALTON MEMORIAL HOSPITAL,16,17125.4375,5935.375
690,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,24,16988.875,4247.875
698,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,140002,ALTON MEMORIAL HOSPITAL,16,32090.5,8485.9375
812,812 - RED BLOOD CELL DISORDERS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,24,17798.58333,4457.166667
853,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,140002,ALTON MEMORIAL HOSPITAL,27,108814.2963,30921.33333
870,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,140002,ALTON MEMORIAL HOSPITAL,14,129539.2143,30818
871,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,140002,ALTON MEMORIAL HOSPITAL,215,40189.72558,10503.78605
872,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,62,20778.54839,6091.129032
918,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,29,13793.93103,3978.689655
948,948 - SIGNS & SYMPTOMS W/O MCC,140002,ALTON MEMORIAL HOSPITAL,16,17384,3771.375
39,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,71,27179.09859,7542.929577
57,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,71,29115.61972,6036.323944
64,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,89,62820.41573,11958.83146
65,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,114,44637.27193,7421.403509
66,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,35,36829.88571,4967.114286
69,069 - TRANSIENT ISCHEMIA,140007,PROVENA ST JOSEPH MEDICAL CENTER,123,30310.81301,4757.463415
74,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,52,24417.67308,5632.923077
101,101 - SEIZURES W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,81,28504.07407,4642.08642
149,149 - DYSEQUILIBRIUM,140007,PROVENA ST JOSEPH MEDICAL CENTER,106,27075.68868,4536.669811
176,176 - PULMONARY EMBOLISM W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,18,42301.66667,6643.833333
177,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,86,54952.10465,12699.36047
178,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,49,42316.69388,8646.612245
189,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,140007,PROVENA ST JOSEPH MEDICAL CENTER,37,38043.48649,7817.567568
190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,220,33412.73182,7572.554545
191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,220,29656.88636,5820.777273
192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,149,22784.36913,4512.791946
193,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,98,43034.66327,8865.765306
194,194 - SIMPLE PNEUMONIA & PLEURISY W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,111,30286.83784,6038.891892
195,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,44,21494.68182,5076.272727
202,202 - BRONCHITIS & ASTHMA W CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,62,23571.40323,5888.322581
203,203 - BRONCHITIS & ASTHMA W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,40,19600.85,4341.925
207,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,140007,PROVENA ST JOSEPH MEDICAL CENTER,15,159785.8,38217.86667
208,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,140007,PROVENA ST JOSEPH MEDICAL CENTER,52,82097.73077,15319.34615
238,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,39,114530.1026,23796.23077
243,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,37,84220.78378,16132.24324
244,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,20,58486.2,12335.6
246,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,140007,PROVENA ST JOSEPH MEDICAL CENTER,30,96675.43333,19797.5
247,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,85,67675.22353,13000.4
249,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,19,70365.73684,10735.15789
251,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,19,73701.63158,17916.84211
252,252 - OTHER VASCULAR PROCEDURES W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,37,77246.97297,18553.75676
253,253 - OTHER VASCULAR PROCEDURES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,39,72085.71795,14580.5641
254,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,25,61490.92,10158.36
280,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,101,57422.77228,11875.52475
281,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",140007,PROVENA ST JOSEPH MEDICAL CENTER,60,34140.05,7011.55
282,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,14,30997.78571,4885.142857
286,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,21,55669.09524,12645.47619
287,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,89,37393.07865,7066.067416
291,291 - HEART FAILURE & SHOCK W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,259,43910.33977,9063.490347
292,292 - HEART FAILURE & SHOCK W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,253,29599.68775,6194.426877
293,293 - HEART FAILURE & SHOCK W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,82,20305.07317,4120.658537
300,300 - PERIPHERAL VASCULAR DISORDERS W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,91,27784.24176,5896.43956
301,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,42,19696.61905,4030.071429
303,303 - ATHEROSCLEROSIS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,20,22518.2,5380.9
305,305 - HYPERTENSION W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,44,25996.90909,4534.545455
308,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,85,36055,7574.117647
309,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,127,26163.48031,5085.141732
310,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,106,18020.60377,3683.122642
312,312 - SYNCOPE & COLLAPSE,140007,PROVENA ST JOSEPH MEDICAL CENTER,246,28982.31301,4795.455285
313,313 - CHEST PAIN,140007,PROVENA ST JOSEPH MEDICAL CENTER,122,22519.27049,3617.286885
314,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,73,55640.9589,11316.49315
315,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,22,32067.22727,6855.909091
329,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,45,133478.6,34750.51111
330,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,38,64349.21053,17224.21053
372,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,47,35468.53191,7711.255319
377,377 - G.I. HEMORRHAGE W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,55,48816.32727,10584.2
378,378 - G.I. HEMORRHAGE W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,160,29196.4125,6212.375
379,379 - G.I. HEMORRHAGE W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,32,22212.59375,4330.5
389,389 - G.I. OBSTRUCTION W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,45,32965.8,5543.555556
390,390 - G.I. OBSTRUCTION W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,16,22321.25,4038.0625
391,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,53,36591,6990.90566
392,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,303,24927.71947,4710.60396
394,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,59,27926.45763,6825.59322
418,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,16,53206.9375,10934.125
419,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,18,40637.55556,6894.444444
439,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,19,38639.84211,6111.684211
460,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,46,129704.413,28633
469,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,21,94670.90476,19748.14286
470,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,274,64265.75912,13366.78832
473,473 - CERVICAL SPINAL FUSION W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,12,83820.58333,13065.33333
480,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,19,78374.73684,18291.94737
481,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,85,58735.98824,11475.64706
536,536 - FRACTURES OF HIP & PELVIS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,33,24728.0303,4491.606061
552,552 - MEDICAL BACK PROBLEMS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,127,27451.14173,5188.433071
563,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,40,22474.275,4224.325
602,602 - CELLULITIS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,38,35746.94737,9055.605263
603,603 - CELLULITIS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,188,22778.23936,5133.654255
638,638 - DIABETES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,59,24159.16949,5159.186441
640,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,47,27477.44681,6771.340426
641,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",140007,PROVENA ST JOSEPH MEDICAL CENTER,172,21199.44767,4155.982558
682,682 - RENAL FAILURE W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,135,42894.62963,9870.177778
683,683 - RENAL FAILURE W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,179,29048.12291,6142.26257
684,684 - RENAL FAILURE W/O CC/MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,36,23559.19444,3952.638889
689,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,127,37257.02362,7349.724409
690,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,262,25201.65267,4874.015267
698,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,64,42965.51563,9679.203125
699,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,140007,PROVENA ST JOSEPH MEDICAL CENTER,37,27623.86486,5925.513514
811,811 - RED BLOOD CELL DISORDERS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,37,27972.64865,7686.081081
812,812 - RED BLOOD CELL DISORDERS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,108,24342.51852,5001.157407
853,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,44,144744.8864,35452.81818
870,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,140007,PROVENA ST JOSEPH MEDICAL CENTER,12,169018.6667,34931.08333
871,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,285,63183.58947,12291.76491
872,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,71,36142.66197,7475.619718
885,885 - PSYCHOSES,140007,PROVENA ST JOSEPH MEDICAL CENTER,148,21424.98649,5597.804054
897,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,43,20572.55814,3954.604651
917,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,11,45064.63636,8994.727273
918,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,35,24203.05714,4129.685714
948,948 - SIGNS & SYMPTOMS W/O MCC,140007,PROVENA ST JOSEPH MEDICAL CENTER,70,24115.08571,5023.828571
39,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,16,56027,18420.5625
57,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,24,32763.5,5420.291667
64,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,13,101616.3077,13111.84615
65,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,23,44305.08696,8135.434783
66,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,19,37822,4854.631579
69,069 - TRANSIENT ISCHEMIA,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,22,43743.86364,4401.363636
74,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,11,35220.54545,5171.454545
