provider_id,N_P_D_S_T_C,R_D_S_T_C,L_E_D_S_T_C,H_E_D_S_T_C,N_P_C_L,R_C_L,L_E_C_L,H_E_C_L,N_P_B_C,R_B_C
170146,54,113.12,69.1,157.14,6239,0.22,0,0.51,1630,3.03
170190,Not Available,Not Available,Not Available,Not Available,153,0.34,0,0.77,120,4.13
171344,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170122,332,119.72,94.16,145.28,26391,0.38,0.18,0.58,7817,2.28
171375,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170010,9,Not Available,Not Available,Not Available,1095,0.32,0,0.75,176,3.66
170188,18,Not Available,Not Available,Not Available,581,0.33,0,0.76,583,4.04
170142,57,143.84,97.62,190.06,4163,0.82,0.49,1.15,1481,2.05
170194,3,Not Available,Not Available,Not Available,529,0.33,0,0.76,463,3.4
171358,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171380,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170013,153,119.46,85.69,153.23,5024,0.46,0.17,0.75,2054,2.62
170027,29,112.17,61.92,162.42,1489,0.3,0,0.71,554,9.13
171341,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171313,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171371,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170075,Not Available,Not Available,Not Available,Not Available,314,0.34,0,0.77,Not Available,Not Available
171343,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171361,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171372,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171315,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170166,Not Available,Not Available,Not Available,Not Available,1062,0.33,0,0.76,19,Not Available
171337,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171317,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170104,183,117.3,82.22,152.38,13411,0.49,0.24,0.74,4295,3.5
171327,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170183,24,Not Available,Not Available,Not Available,1301,0.32,0,0.75,1286,4.03
170191,17,Not Available,Not Available,Not Available,1348,0.41,0,0.82,720,3.66
171333,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171355,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170040,370,101.4,75.37,127.43,15453,0.34,0.12,0.56,6953,4.62
171319,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171364,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170105,4,Not Available,Not Available,Not Available,1079,0.32,0,0.75,85,4.07
171357,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171348,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171350,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171336,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
17006F,,,,,,,,,,
171381,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170103,37,110.76,60.62,160.9,2870,0.24,0,0.61,930,3.88
170001,18,Not Available,Not Available,Not Available,2667,0.28,0,0.67,434,5.13
170137,37,109.78,66.29,153.27,4595,0.41,0.08,0.74,1134,2.21
170200,3,Not Available,Not Available,Not Available,569,0.33,0,0.76,108,5.31
171338,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170039,3,Not Available,Not Available,Not Available,448,0.34,0,0.77,21,Not Available
170109,Not Available,Not Available,Not Available,Not Available,643,0.33,0,0.76,175,3.83
170023,40,114.34,67.81,160.87,1943,0.46,0.07,0.85,768,4.96
171331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171354,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170196,15,Not Available,Not Available,Not Available,773,0.33,0,0.76,749,2.73
170058,4,Not Available,Not Available,Not Available,1589,0.31,0,0.72,225,3.56
171322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171383,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171378,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171369,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170017,7,Not Available,Not Available,Not Available,1353,0.32,0,0.73,234,4.62
171367,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170123,138,133.7,98.91,168.49,11956,0.44,0.2,0.68,4625,2.8
171320,,,,,,,,,,
171382,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
171376,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
17008F,,,,,,,,,,
170187,3,Not Available,Not Available,Not Available,587,0.33,0,0.76,592,4.13
171377,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170086,181,122.66,90.28,155.04,15271,0.48,0.26,0.7,4433,4.85
170020,91,117.76,75.93,159.59,6816,0.3,0,0.61,2164,2.35
180011,131,93.2,56.39,130.01,6116,0.37,0.08,0.66,1920,4.26
181330,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180092,10,Not Available,Not Available,Not Available,1775,0.29,0,0.7,256,2.66
181324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181315,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181319,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180020,16,Not Available,Not Available,Not Available,2178,0.28,0,0.67,164,3.74
181309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180018,32,114.25,63.39,165.11,3838,0.38,0.03,0.73,745,4.24
180102,107,80.6,40.42,120.78,10027,0.37,0.1,0.64,3029,6.45
181331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180079,8,Not Available,Not Available,Not Available,1654,0.3,0,0.71,142,6.29
180116,44,100.04,54.47,145.61,4457,0.31,0,0.66,825,5.36
180019,16,Not Available,Not Available,Not Available,2307,0.27,0,0.66,353,4.67
180117,Not Available,Not Available,Not Available,Not Available,1108,0.33,0,0.76,43,4.48
180139,10,Not Available,Not Available,Not Available,3624,0.26,0,0.65,149,4.08
180127,36,99.4,50.75,148.05,3660,0.32,0,0.69,649,4.66
181302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180048,100,115.58,75.3,155.86,7428,0.42,0.11,0.73,1622,3.48
180038,183,105.94,72.8,139.08,15375,0.44,0.2,0.68,4408,8.89
180141,163,146.54,112.69,180.39,7330,0.69,0.38,1,2126,4.17
180004,15,Not Available,Not Available,Not Available,1939,0.39,0,0.8,260,3.35
180105,3,Not Available,Not Available,Not Available,2360,0.3,0,0.71,53,4.45
181303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180009,370,112.71,88.25,137.17,20099,0.23,0.01,0.45,7233,2.68
180053,Not Available,Not Available,Not Available,Not Available,1663,0.31,0,0.72,84,4.26
180050,6,Not Available,Not Available,Not Available,3852,0.26,0,0.63,230,4.66
180013,123,144.21,106.34,182.08,13481,0.3,0.05,0.55,3847,4.45
181306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180025,14,Not Available,Not Available,Not Available,2187,0.39,0,0.78,542,2.2
181312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180130,349,110.59,85.64,135.54,24588,0.07,0,0.27,8458,3.97
180138,15,Not Available,Not Available,Not Available,2276,0.28,0,0.67,365,5.62
180012,88,100.95,62.28,139.62,10724,0.38,0.11,0.65,2009,1.98
180027,26,151.33,103.15,199.51,4235,0.38,0.03,0.73,711,4.24
180035,281,90.15,61.71,118.59,22099,0.39,0.19,0.59,6361,1.72
180066,10,Not Available,Not Available,Not Available,1764,0.31,0,0.72,167,5.01
180124,28,117.3,65.73,168.87,3424,0.24,0,0.61,1019,2.31
180132,136,168.82,130.11,207.53,9916,0.31,0.02,0.6,2631,4.98
180049,41,92.33,45.53,139.13,2501,0.33,0,0.7,579,3.12
180104,148,131.67,95.88,167.46,14476,0.38,0.13,0.63,3780,3.73
180046,3,Not Available,Not Available,Not Available,786,0.33,0,0.76,52,5.8
180040,635,122.07,101.22,142.92,30509,0.42,0.24,0.6,9701,3.7
180044,190,123.19,90.48,155.9,8991,0.41,0.14,0.68,2587,4.38
180002,15,Not Available,Not Available,Not Available,3281,0.27,0,0.66,157,6.33
180095,Not Available,Not Available,Not Available,Not Available,1677,0.31,0,0.72,31,4.53
180021,5,Not Available,Not Available,Not Available,3535,0.27,0,0.66,172,4.04
180043,10,Not Available,Not Available,Not Available,2544,0.39,0,0.78,106,4.16
181307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180010,351,80.33,55.4,105.26,17416,0.75,0.53,0.97,7461,2.22
180064,8,Not Available,Not Available,Not Available,1680,0.3,0,0.71,283,4.13
181311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180024,4,Not Available,Not Available,Not Available,1419,0.31,0,0.72,200,3.54
180087,32,111.25,62.82,159.68,2859,0.33,0,0.7,476,5.31
181308,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180036,78,92.31,50.6,134.02,6774,0.27,0,0.6,1173,2.8
181320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
18007F,,,,,,,,,,
180005,24,Not Available,Not Available,Not Available,4576,0.46,0.11,0.81,441,4.9
180067,426,143.01,118.86,167.16,16062,0.27,0.03,0.51,6858,4.27
180101,25,100.68,50.07,151.29,1384,0.41,0,0.82,490,3.25
181304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181329,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180016,31,113.8,64.86,162.74,2199,0.37,0,0.76,438,6.76
180080,70,96.2,52.22,140.18,7390,0.25,0,0.58,1041,3.06
180045,49,103.51,58.06,148.96,5242,0.33,0,0.66,727,4
181325,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180029,123,133.03,98.81,167.25,9528,0.12,0,0.37,1794,3.73
180103,217,121.11,90.85,151.37,12780,0.2,0,0.44,5816,2.81
180149,Not Available,Not Available,Not Available,Not Available,2178,0.31,0,0.72,39,4.45
181327,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180115,Not Available,Not Available,Not Available,Not Available,1455,0.32,0,0.73,8,Not Available
180128,6,Not Available,Not Available,Not Available,2743,0.29,0,0.7,156,4.09
181322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180051,52,130.37,84.72,176.02,5517,0.43,0.1,0.76,1055,4.57
181317,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180017,71,113.83,71.98,155.68,5430,0.22,0,0.57,1467,2.58
180056,27,102,52.75,151.25,4334,0.38,0.03,0.73,537,4.17
180143,65,101.7,58.09,145.31,5083,0.34,0.01,0.67,2160,3.7
180088,947,98.26,81.68,114.84,35897,0.26,0.1,0.42,13684,5.18
180070,25,105.96,57.53,154.39,1684,0.29,0,0.68,292,3.03
180106,Not Available,Not Available,Not Available,Not Available,2390,0.31,0,0.72,73,4.41
180069,5,Not Available,Not Available,Not Available,3001,0.27,0,0.66,127,6.43
181323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180001,54,103.01,60.22,145.8,5431,0.39,0.06,0.72,787,3.08
181321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
181310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
180093,91,144.39,102.43,186.35,6366,0.38,0.09,0.67,1994,3.32
18006F,,,,,,,,,,
180078,14,Not Available,Not Available,Not Available,2948,0.38,0,0.77,182,3.69
191303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
191318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190081,Not Available,Not Available,Not Available,Not Available,1466,0.33,0,0.76,6,Not Available
190278,9,Not Available,Not Available,Not Available,536,0.33,0,0.76,522,2.91
190183,7,Not Available,Not Available,Not Available,1341,0.63,0.22,1.04,251,4.69
190009,Not Available,Not Available,Not Available,Not Available,10,Not Available,Not Available,Not Available,Not Available,Not Available
190245,Not Available,Not Available,Not Available,Not Available,187,0.33,0,0.76,167,4.93
190273,Not Available,Not Available,Not Available,Not Available,87,0.34,0,0.77,88,4.29
190050,8,Not Available,Not Available,Not Available,2009,0.26,0,0.65,163,3.87
190026,154,153.53,119.54,187.52,11532,0.33,0.08,0.58,3500,4.69
190246,Not Available,Not Available,Not Available,Not Available,877,0.37,0,0.76,856,2.59
190002,172,117.49,83.7,151.28,10152,0.32,0.05,0.59,3279,6.51
190205,96,90.85,49.14,132.56,4944,0.32,0,0.65,2360,6.51
190040,37,107.22,61.26,153.18,5269,0.44,0.13,0.75,1192,3.67
191322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190218,Not Available,Not Available,Not Available,Not Available,1270,0.32,0,0.75,11,Not Available
190251,Not Available,Not Available,Not Available,Not Available,86,0.34,0,0.77,85,4.42
190202,28,116.44,68.75,164.13,2712,0.4,0.03,0.77,594,3.64
190118,8,Not Available,Not Available,Not Available,1283,0.32,0,0.73,56,4.31
191311,,,,,,,,,,
190054,23,Not Available,Not Available,Not Available,3789,0.3,0,0.65,723,4.25
190184,Not Available,Not Available,Not Available,Not Available,602,0.33,0,0.76,34,4.53
190044,25,106.74,56.39,157.09,2684,0.28,0,0.67,423,3.08
191316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190005,40,125.88,79.62,172.14,2030,0.56,0.17,0.95,574,5.44
190133,Not Available,Not Available,Not Available,Not Available,341,0.34,0,0.77,Not Available,Not Available
190297,4,Not Available,Not Available,Not Available,502,0.33,0,0.76,127,3.81
190008,101,156.97,116.67,197.27,6836,0.22,0,0.51,2275,5.31
190041,139,163.21,125.11,201.31,10899,0.25,0,0.5,3124,5.55
190256,Not Available,Not Available,Not Available,Not Available,19,Not Available,Not Available,Not Available,10,Not Available
190006,7,Not Available,Not Available,Not Available,943,0.31,0,0.72,196,3.86
191310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190098,56,140.28,95.06,185.5,5563,0.42,0.09,0.75,1740,5.71
190268,Not Available,Not Available,Not Available,Not Available,53,0.34,0,0.77,51,4.45
19048F,,,,,,,,,,
190161,Not Available,Not Available,Not Available,Not Available,246,0.34,0,0.77,42,4.53
190190,Not Available,Not Available,Not Available,Not Available,851,0.33,0,0.76,Not Available,Not Available
190004,77,99.08,56.72,141.44,5955,0.24,0,0.55,1898,1.21
190034,15,Not Available,Not Available,Not Available,2004,0.29,0,0.68,227,3.44
191320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190003,17,Not Available,Not Available,Not Available,1934,0.27,0,0.66,526,4.31
190102,102,117.25,79.32,155.18,8665,0.32,0.05,0.59,2549,2.91
190001,4,Not Available,Not Available,Not Available,1803,0.29,0,0.7,87,5.51
191315,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190151,7,Not Available,Not Available,Not Available,1078,0.32,0,0.75,80,3.9
191325,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190164,12,Not Available,Not Available,Not Available,3622,0.34,0,0.71,359,2.31
190019,174,85.44,52.79,118.09,9454,0.36,0.09,0.63,3147,10
190020,28,145.75,95.42,196.08,3246,0.25,0,0.62,625,5.27
190274,58,97.42,54.85,139.99,3111,0.36,0.01,0.71,931,3.64
191304,,,,,,,,,,
190304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
191324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190167,27,100.56,53.5,147.62,3701,0.25,0,0.62,302,4.26
190307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190039,93,115.87,77.61,154.13,8739,0.25,0,0.54,2423,3.91
190086,52,115.75,72.51,158.99,4962,0.28,0,0.61,689,6.11
190011,3,Not Available,Not Available,Not Available,1096,0.31,0,0.72,52,4.4
190111,333,124.31,97.81,150.81,24406,0.16,0,0.34,7546,4.47
191301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190177,85,141.45,101.72,181.18,3707,0.3,0,0.61,1256,2.99
191312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190175,12,Not Available,Not Available,Not Available,1559,0.28,0,0.67,280,4.41
190135,16,Not Available,Not Available,Not Available,2407,0.34,0,0.71,543,6.38
190270,11,Not Available,Not Available,Not Available,679,0.33,0,0.76,689,2.98
190122,Not Available,Not Available,Not Available,Not Available,712,0.32,0,0.75,161,3.87
190298,Not Available,Not Available,Not Available,Not Available,333,0.33,0,0.76,325,5.55
190128,7,Not Available,Not Available,Not Available,471,0.32,0,0.75,422,3.93
190064,290,108.79,79.86,137.72,21000,0.34,0.12,0.56,7538,6.44
190090,8,Not Available,Not Available,Not Available,1270,0.54,0.13,0.95,44,4.44
190017,89,134.6,92.19,177.01,6455,0.56,0.25,0.87,1776,5.14
191317,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190046,58,100.2,55.36,145.04,6889,0.15,0,0.44,1884,5.28
190263,38,91.83,43.5,140.16,2008,0.42,0.09,0.75,1316,3.2
190140,Not Available,Not Available,Not Available,Not Available,1661,0.31,0,0.72,18,Not Available
191323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190208,Not Available,Not Available,Not Available,Not Available,676,0.33,0,0.76,Not Available,Not Available
190079,4,Not Available,Not Available,Not Available,809,0.32,0,0.73,103,4.21
190088,Not Available,Not Available,Not Available,Not Available,1232,0.31,0,0.72,49,4.23
190199,Not Available,Not Available,Not Available,Not Available,34,0.35,0,0.78,Not Available,Not Available
190250,27,122.98,73.16,172.8,1905,0.33,0,0.7,1055,2.52
19043F,,,,,,,,,,
190242,23,Not Available,Not Available,Not Available,1770,0.39,0,0.8,251,5.97
190106,4,Not Available,Not Available,Not Available,1094,0.32,0,0.75,49,4.45
190007,18,Not Available,Not Available,Not Available,2253,0.37,0,0.76,351,4.1
191302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190045,76,112.14,70.04,154.24,6800,0.42,0.13,0.71,2184,4.41
190014,17,Not Available,Not Available,Not Available,2153,0.26,0,0.65,242,5.55
190261,Not Available,Not Available,Not Available,Not Available,14,Not Available,Not Available,Not Available,13,Not Available
191326,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190266,Not Available,Not Available,Not Available,Not Available,246,0.34,0,0.77,242,3.91
190255,Not Available,Not Available,Not Available,Not Available,20,Not Available,Not Available,Not Available,19,Not Available
190053,12,Not Available,Not Available,Not Available,3204,0.28,0,0.67,413,4.09
190236,52,110.08,65.51,154.65,6384,0.15,0,0.44,1451,3.59
190013,33,106.29,57.43,155.15,2880,0.51,0.14,0.88,648,3.11
190114,Not Available,Not Available,Not Available,Not Available,1716,0.3,0,0.71,35,4.45
191321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190257,8,Not Available,Not Available,Not Available,443,0.4,0,0.81,227,4.94
191305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190146,172,108.66,74.4,142.92,14451,0.19,0,0.44,4558,5.55
190027,124,116.27,79.3,153.24,6910,0.26,0,0.55,1918,3.91
190015,90,124.22,83.31,165.13,9350,0.26,0,0.55,1935,5.36
190267,Not Available,Not Available,Not Available,Not Available,121,0.34,0,0.77,119,4.05
190036,315,113.27,89.53,137.01,20150,0.23,0.03,0.43,6156,2.2
191306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
190116,5,Not Available,Not Available,Not Available,1369,0.3,0,0.71,157,3.85
190145,Not Available,Not Available,Not Available,Not Available,1200,0.32,0,0.75,6,Not Available
190025,28,103.18,55.47,150.89,1914,0.38,0,0.77,312,4.41
190160,116,108.4,69.89,146.91,8698,0.2,0,0.49,1699,6.68
190241,Not Available,Not Available,Not Available,Not Available,93,0.34,0,0.77,65,4.31
190303,Not Available,Not Available,Not Available,Not Available,88,0.34,0,0.77,84,4.31
190065,227,124.04,94.05,154.03,13427,0.27,0.02,0.52,3366,6.22
190125,168,97.52,65.04,130,11435,0.23,0,0.48,3453,3.83
190176,114,158.36,120.22,196.5,6156,0.64,0.33,0.95,2020,5.45
190099,10,Not Available,Not Available,Not Available,1876,0.3,0,0.71,104,4.03
190204,23,Not Available,Not Available,Not Available,1978,0.25,0,0.62,418,3.67
190144,39,108.52,62.09,154.95,3484,0.23,0,0.58,518,4.32
190060,86,139.5,98.12,180.88,6837,0.4,0.11,0.69,2161,2.78
190201,7,Not Available,Not Available,Not Available,604,0.32,0,0.75,380,3.45
190259,10,Not Available,Not Available,Not Available,482,0.33,0,0.76,469,3.2
220100,133,121.43,85.35,157.51,18674,0.26,0.01,0.51,3063,5.06
220163,404,150.83,128.09,173.57,28239,0.28,0.1,0.46,7935,5.88
221302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220031,187,129.09,97.3,160.88,15048,0.5,0.25,0.75,4136,7.87
220111,69,96.34,52.36,140.32,11193,0.13,0,0.4,1678,2.07
220088,76,100.5,52.58,148.42,5340,0.32,0,0.69,4717,2.1
220024,56,99.42,56.4,142.44,5199,0.53,0.2,0.86,652,3.3
220052,57,101.63,59.31,143.95,8637,0.3,0,0.61,1136,4.75
220177,Not Available,Not Available,Not Available,Not Available,313,0.33,0,0.76,3,Not Available
220083,3,Not Available,Not Available,Not Available,2703,0.38,0,0.77,283,3.1
220008,72,96.76,56.15,137.37,6098,0.8,0.47,1.13,1234,4.51
220051,15,Not Available,Not Available,Not Available,2397,0.35,0,0.72,482,3.45
220176,138,96.67,60.68,132.66,12118,0.47,0.22,0.72,3060,9.82
220001,36,108.38,62.03,154.73,4889,0.59,0.24,0.94,841,4.12
220002,118,98.16,62.02,134.3,9722,0.41,0.12,0.7,2053,4.88
22009F,,,,,,,,,,
220162,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220063,58,99.72,56.46,142.98,7168,0.24,0,0.55,1528,3.4
220077,384,128.87,105.72,152.02,22508,0.12,0,0.32,8021,3.3
220074,265,98.91,69.57,128.25,34052,0.13,0,0.31,6649,3.36
220011,28,96.77,47.2,146.34,6615,0.33,0,0.66,697,3.46
220101,70,86.87,45.44,128.3,10238,0.16,0,0.45,2620,3.12
220020,45,104.03,58.77,149.29,5946,0.28,0,0.61,719,4.77
223302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220070,94,93.52,55.63,131.41,15277,0.27,0,0.54,1928,4.26
220105,70,104.93,64.67,145.19,10299,0.15,0,0.44,1709,6.14
220035,155,83.26,49.43,117.09,17001,0.32,0.08,0.56,4140,3.84
221300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220065,22,Not Available,Not Available,Not Available,2584,0.45,0.06,0.84,269,4.9
220086,356,104.33,80.1,128.56,25171,0.58,0.38,0.78,8909,3.95
220082,40,99.71,55.86,143.56,6242,0.32,0,0.65,1031,4.51
220119,23,Not Available,Not Available,Not Available,6362,0.53,0.18,0.88,1122,3.51
220116,269,99.85,72.14,127.56,10778,0.24,0,0.49,4196,3.57
220098,8,Not Available,Not Available,Not Available,1839,0.39,0,0.8,161,4.43
220066,109,110.29,71.66,148.92,8631,0.22,0,0.51,1701,3.67
220108,37,96.61,52.02,141.2,4771,0.34,0.01,0.67,830,5.54
